active_ingredient,active_ingredient_norm,possible_controlled_substance,dea_schedule,arcos_merge_notes
RILUZOLE,RILUZOLE,,,
RILZABRUTINIB,RILZABRUTINIB,,,
RIMANTADINE HYDROCHLORIDE,RIMANTADINE HYDROCHLORIDE,,,
RIMEGEPANT,RIMEGEPANT,,,
RIMEGEPANT SULFATE,RIMEGEPANT SULFATE,,,
RIMEXOLONE,RIMEXOLONE,,,
RIOCIGUAT,RIOCIGUAT,,,
RIPRETINIB,RIPRETINIB,,,
RISANKIZUMAB-RZAA,RISANKIZUMAB RZAA,,,
RISDIPLAM,RISDIPLAM,,,
RISEDRONATE SODIUM,RISEDRONATE SODIUM,,,
RISPERIDONE,RISPERIDONE,,,
RITLECITINIB TOSYLATE,RITLECITINIB TOSYLATE,,,
RITODRINE HYDROCHLORIDE,RITODRINE HYDROCHLORIDE,,,
RITONAVIR,RITONAVIR,,,
RITUXIMAB,RITUXIMAB,,,
RITUXIMAB-ABBS,RITUXIMAB ABBS,,,
RITUXIMAB-ARRX,RITUXIMAB ARRX,,,
RITUXIMAB-PVVR,RITUXIMAB PVVR,,,
RIVAROXABAN,RIVAROXABAN,,,
RIVASTIGMINE,RIVASTIGMINE,,,
RIVASTIGMINE TARTRATE,RIVASTIGMINE TARTRATE,,,
RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,,,
ROCURONIUM BROMIDE,ROCURONIUM BROMIDE,,,
ROFECOXIB,ROFECOXIB,,,
ROFLUMILAST,ROFLUMILAST,,,
ROLAPITANT HYDROCHLORIDE,ROLAPITANT HYDROCHLORIDE,,,
ROMIDEPSIN,ROMIDEPSIN,,,
ROMIPLOSTIM,ROMIPLOSTIM,,,
ROMOSOZUMAB-AQQG,ROMOSOZUMAB AQQG,,,
ROPEGINTERFERON ALFA-2B-NJFT,ROPEGINTERFERON ALFA 2B NJFT,,,
ROPINIROLE HYDROCHLORIDE,ROPINIROLE HYDROCHLORIDE,,,
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,,,
ROSE BENGAL SODIUM I-131,ROSE BENGAL SODIUM I 131,,,
ROSIGLITAZONE MALEATE,ROSIGLITAZONE MALEATE,,,
ROSUVASTATIN CALCIUM,ROSUVASTATIN CALCIUM,,,
ROSUVASTATIN ZINC,ROSUVASTATIN ZINC,,,
ROTIGOTINE,ROTIGOTINE,,,
ROZANOLIXIZUMAB-NOLI,ROZANOLIXIZUMAB NOLI,,,
RUBIDIUM CHLORIDE RB-82,RUBIDIUM CHLORIDE RB 82,,,
RUCAPARIB CAMSYLATE,RUCAPARIB CAMSYLATE,,,
RUFINAMIDE,RUFINAMIDE,,,
RUXOLITINIB PHOSPHATE,RUXOLITINIB PHOSPHATE,,,
Ruxolitinib,RUXOLITINIB,,,
SACITUZUMAB GOVITECAN-HZIY,SACITUZUMAB GOVITECAN HZIY,,,
SACROSIDASE,SACROSIDASE,,,
SACUBITRIL,SACUBITRIL,,,
SAFFLOWER OIL,SAFFLOWER OIL,,,
SAFINAMIDE,SAFINAMIDE,,,
SAFINAMIDE MESYLATE,SAFINAMIDE MESYLATE,,,
SALMETEROL XINAFOATE,SALMETEROL XINAFOATE,,,
SAMARIUM SM-153 LEXIDRONAM PENTASODIUM,SAMARIUM SM 153 LEXIDRONAM PENTASODIUM,,,
SAMIDORPHAN L-MALATE,SAMIDORPHAN L MALATE,,,
SAPROPTERIN DIHYDROCHLORIDE,SAPROPTERIN DIHYDROCHLORIDE,,,
SAQUINAVIR,SAQUINAVIR,,,
SAQUINAVIR MESYLATE,SAQUINAVIR MESYLATE,,,
SARECYCLINE HYDROCHLORIDE,SARECYCLINE HYDROCHLORIDE,,,
SARGRAMOSTIM,SARGRAMOSTIM,,,
SARILUMAB,SARILUMAB,,,
SATRALIZUMAB,SATRALIZUMAB,,,
SAXAGLIPTIN,SAXAGLIPTIN,,,
SAXAGLIPTIN HYDROCHLORIDE,SAXAGLIPTIN HYDROCHLORIDE,,,
SCOPOLAMINE,SCOPOLAMINE,,,
SEBELIPASE ALFA,SEBELIPASE ALFA,,,
SEBETRALSTAT,SEBETRALSTAT,,,
SECNIDAZOLE,SECNIDAZOLE,,,
SECOBARBITAL SODIUM,SECOBARBITAL SODIUM,,,
SECRETIN SYNTHETIC HUMAN,SECRETIN SYNTHETIC HUMAN,,,
SECRETIN SYNTHETIC PORCINE,SECRETIN SYNTHETIC PORCINE,,,
SECUKINUMAB,SECUKINUMAB,,,
SEGESTERONE ACETATE,SEGESTERONE ACETATE,,,
SELADELPAR LYSINE,SELADELPAR LYSINE,,,
SELEGILINE,SELEGILINE,,,
SELEGILINE HYDROCHLORIDE,SELEGILINE HYDROCHLORIDE,,,
SELENIOUS ACID,SELENIOUS ACID,,,
SELENIUM SULFIDE,SELENIUM SULFIDE,,,
SELENOMETHIONINE SE-75,SELENOMETHIONINE SE 75,,,
SELEXIPAG,SELEXIPAG,,,
SELINEXOR,SELINEXOR,,,
SELPERCATINIB,SELPERCATINIB,,,
SELUMETINIB,SELUMETINIB,,,
SELUMETINIB SULFATE,SELUMETINIB SULFATE,,,
SEMAGLUTIDE,SEMAGLUTIDE,,,
SEPIAPTERIN,SEPIAPTERIN,,,
SERDEXMETHYLPHENIDATE CHLORIDE,SERDEXMETHYLPHENIDATE CHLORIDE,,,
SERMORELIN ACETATE,SERMORELIN ACETATE,,,
SERTACONAZOLE NITRATE,SERTACONAZOLE NITRATE,,,
SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE,,,
SETMELANOTIDE ACETATE,SETMELANOTIDE ACETATE,,,
SEVABERTINIB,SEVABERTINIB,,,
SEVELAMER CARBONATE,SEVELAMER CARBONATE,,,
SEVELAMER HYDROCHLORIDE,SEVELAMER HYDROCHLORIDE,,,
SEVOFLURANE,SEVOFLURANE,,,
SIBEPRENLIMAB-SZSI,SIBEPRENLIMAB SZSI,,,
SIBUTRAMINE HYDROCHLORIDE,SIBUTRAMINE HYDROCHLORIDE,,,
SILDENAFIL CITRATE,SILDENAFIL CITRATE,,,
SILODOSIN,SILODOSIN,,,
SILTUXIMAB,SILTUXIMAB,,,
SILVER SULFADIAZINE,SILVER SULFADIAZINE,,,
SIMEPREVIR SODIUM,SIMEPREVIR SODIUM,,,
SIMETHICONE,SIMETHICONE,,,
SIMETHICONE-CELLULOSE,SIMETHICONE CELLULOSE,,,
SIMVASTATIN,SIMVASTATIN,,,
SINCALIDE,SINCALIDE,,,
SINECATECHINS,SINECATECHINS,,,
SIPONIMOD,SIPONIMOD,,,
SIROLIMUS,SIROLIMUS,,,
SITAGLIPTIN,SITAGLIPTIN,,,
SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,,,
SITAGLIPTIN HYDROCHLORIDE,SITAGLIPTIN HYDROCHLORIDE,,,
SITAGLIPTIN PHOSPHATE,SITAGLIPTIN PHOSPHATE,,,
"SITAGLIPTIN PHOSPHATE ANHYDROUS, METFORMIN HYDROCHLORIDE",SITAGLIPTIN PHOSPHATE ANHYDROUS METFORMIN HYDROCHLORIDE,,,
"SITAGLIPTIN, METFORMIN HYDROCHLORIDE",SITAGLIPTIN METFORMIN HYDROCHLORIDE,,,
SODIUM ACETATE,SODIUM ACETATE,,,
SODIUM ASCORBATE,SODIUM ASCORBATE,,,
SODIUM BENZOATE,SODIUM BENZOATE,,,
SODIUM BICARBONATE,SODIUM BICARBONATE,,,
SODIUM CARBONATE,SODIUM CARBONATE,,,
SODIUM CHLORIDE,SODIUM CHLORIDE,,,
SODIUM CHROMATE CR-51,SODIUM CHROMATE CR 51,,,
SODIUM CITRATE,SODIUM CITRATE,,,
SODIUM FERRIC GLUCONATE COMPLEX,SODIUM FERRIC GLUCONATE COMPLEX,,,
SODIUM FLUORIDE,SODIUM FLUORIDE,,,
SODIUM FLUORIDE F-18,SODIUM FLUORIDE F 18,,,
SODIUM GLUCONATE,SODIUM GLUCONATE,,,
SODIUM GLYCEROPHOSPHATE,SODIUM GLYCEROPHOSPHATE,,,
SODIUM IODIDE I-123,SODIUM IODIDE I 123,,,
SODIUM IODIDE I-131,SODIUM IODIDE I 131,,,
SODIUM LACTATE,SODIUM LACTATE,,,
SODIUM MONOFLUOROPHOSPHATE,SODIUM MONOFLUOROPHOSPHATE,,,
SODIUM NITRITE,SODIUM NITRITE,,,
SODIUM NITROPRUSSIDE,SODIUM NITROPRUSSIDE,,,
SODIUM OXYBATE,SODIUM OXYBATE,,,
SODIUM PHENYLACETATE,SODIUM PHENYLACETATE,,,
SODIUM PHENYLBUTYRATE,SODIUM PHENYLBUTYRATE,,,
SODIUM PHOSPHATE,SODIUM PHOSPHATE,,,
SODIUM PHOSPHATE P-32,SODIUM PHOSPHATE P 32,,,
"SODIUM PHOSPHATE, DIBASIC",SODIUM PHOSPHATE DIBASIC,,,
"SODIUM PHOSPHATE, DIBASIC, ANHYDROUS",SODIUM PHOSPHATE DIBASIC ANHYDROUS,,,
"SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",SODIUM PHOSPHATE DIBASIC HEPTAHYDRATE,,,
"SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",SODIUM PHOSPHATE MONOBASIC ANHYDROUS,,,
"SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE",SODIUM PHOSPHATE MONOBASIC MONOHYDRATE,,,
SODIUM PICOSULFATE,SODIUM PICOSULFATE,,,
SODIUM POLYSTYRENE SULFONATE,SODIUM POLYSTYRENE SULFONATE,,,
SODIUM SUCCINATE,SODIUM SUCCINATE,,,
SODIUM SULFATE,SODIUM SULFATE,,,
SODIUM SULFATE ANHYDROUS,SODIUM SULFATE ANHYDROUS,,,
SODIUM TETRADECYL SULFATE,SODIUM TETRADECYL SULFATE,,,
SODIUM THIOSULFATE,SODIUM THIOSULFATE,,,
SODIUM ZIRCONIUM CYCLOSILICATE,SODIUM ZIRCONIUM CYCLOSILICATE,,,
SOFOSBUVIR,SOFOSBUVIR,,,
SOFPIRONIUM BROMIDE,SOFPIRONIUM BROMIDE,,,
SOLIFENACIN SUCCINATE,SOLIFENACIN SUCCINATE,,,
SOLRIAMFETOL,SOLRIAMFETOL,,,
SOLRIAMFETOL HYDROCHLORIDE,SOLRIAMFETOL HYDROCHLORIDE,,,
SOMAPACITAN-BECO,SOMAPACITAN BECO,,,
SOMATROGON-GHLA,SOMATROGON GHLA,,,
SOMATROPIN,SOMATROPIN,,,
SOMATROPIN RECOMBINANT,SOMATROPIN RECOMBINANT,,,
SOMATROPIN [rDNA origin],SOMATROPIN RDNA ORIGIN,,,
SONIDEGIB PHOSPHATE,SONIDEGIB PHOSPHATE,,,
SORAFENIB TOSYLATE,SORAFENIB TOSYLATE,,,
SORBITOL,SORBITOL,,,
SOTAGLIFLOZIN,SOTAGLIFLOZIN,,,
SOTALOL HYDROCHLORIDE,SOTALOL HYDROCHLORIDE,,,
SOTATERCEPT-CSRK,SOTATERCEPT CSRK,,,
SOTORASIB,SOTORASIB,,,
SOYBEAN OIL,SOYBEAN OIL,,,
SPARFLOXACIN,SPARFLOXACIN,,,
SPARSENTAN,SPARSENTAN,,,
SPECTINOMYCIN HYDROCHLORIDE,SPECTINOMYCIN HYDROCHLORIDE,,,
SPESOLIMAB-SBZO,SPESOLIMAB SBZO,,,
SPINOSAD,SPINOSAD,,,
SPIRONOLACTONE,SPIRONOLACTONE,,,
STANOZOLOL,STANOZOLOL,,,
STAVUDINE,STAVUDINE,,,
STERILE WATER,STERILE WATER,,,
STERILE WATER FOR INJECTION,STERILE WATER FOR INJECTION,,,
STERILE WATER FOR IRRIGATION,STERILE WATER FOR IRRIGATION,,,
STIRIPENTOL,STIRIPENTOL,,,
STREPTOMYCIN SULFATE,STREPTOMYCIN SULFATE,,,
STREPTOZOCIN,STREPTOZOCIN,,,
STRONTIUM CHLORIDE SR-89,STRONTIUM CHLORIDE SR 89,,,
SUCCIMER,SUCCIMER,,,
SUCCINYLCHOLINE CHLORIDE,SUCCINYLCHOLINE CHLORIDE,,,
SUCRALFATE,SUCRALFATE,,,
SUFENTANIL CITRATE,SUFENTANIL CITRATE,,,
SUGAMMADEX,SUGAMMADEX,,,
SUGAMMADEX SODIUM,SUGAMMADEX SODIUM,,,
SULBACTAM SODIUM,SULBACTAM SODIUM,,,
SULCONAZOLE NITRATE,SULCONAZOLE NITRATE,,,
SULFACETAMIDE,SULFACETAMIDE,,,
SULFACETAMIDE SODIUM,SULFACETAMIDE SODIUM,,,
SULFACYTINE,SULFACYTINE,,,
SULFADIAZINE,SULFADIAZINE,,,
SULFADIAZINE SODIUM,SULFADIAZINE SODIUM,,,
SULFADOXINE,SULFADOXINE,,,
SULFAMERAZINE,SULFAMERAZINE,,,
SULFAMETER,SULFAMETER,,,
SULFAMETHAZINE),SULFAMETHAZINE,,,
SULFAMETHIZOLE,SULFAMETHIZOLE,,,
SULFAMETHOXAZOLE,SULFAMETHOXAZOLE,,,
SULFANILAMIDE,SULFANILAMIDE,,,
SULFAPYRIDINE,SULFAPYRIDINE,,,
SULFASALAZINE,SULFASALAZINE,,,
SULFATHIAZOLE),SULFATHIAZOLE,,,
SULFINPYRAZONE,SULFINPYRAZONE,,,
SULFISOXAZOLE,SULFISOXAZOLE,,,
SULFISOXAZOLE ACETYL,SULFISOXAZOLE ACETYL,,,
SULFISOXAZOLE DIOLAMINE,SULFISOXAZOLE DIOLAMINE,,,
SULFUR,SULFUR,,,
SULFUR HEXAFLUORIDE LIPID-TYPE A MICROSPHERES,SULFUR HEXAFLUORIDE LIPID TYPE A MICROSPHERES,,,
SULINDAC,SULINDAC,,,
SULOPENEM ETZADROXIL,SULOPENEM ETZADROXIL,,,
SUMATRIPTAN,SUMATRIPTAN,,,
SUMATRIPTAN SUCCINATE,SUMATRIPTAN SUCCINATE,,,
SUNITINIB MALATE,SUNITINIB MALATE,,,
SUNVOZERTINIB,SUNVOZERTINIB,,,
SUPROFEN,SUPROFEN,,,
SUTILAINS,SUTILAINS,,,
SUTIMLIMAB-JOME,SUTIMLIMAB JOME,,,
SUVOREXANT,SUVOREXANT,,,
SUZETRIGINE,SUZETRIGINE,,,
T3),T3,,,
TACRINE HYDROCHLORIDE,TACRINE HYDROCHLORIDE,,,
TACROLIMUS,TACROLIMUS,,,
TADALAFIL,TADALAFIL,,,
TAFAMIDIS,TAFAMIDIS,,,
TAFAMIDIS MEGLUMINE,TAFAMIDIS MEGLUMINE,,,
TAFASITAMAB-CXIX,TAFASITAMAB CXIX,,,
TAFENOQUINE SUCCINATE,TAFENOQUINE SUCCINATE,,,
TAFLUPROST,TAFLUPROST,,,
TAGRAXOFUSP-ERZS,TAGRAXOFUSP ERZS,,,
TALAZOPARIB TOSYLATE,TALAZOPARIB TOSYLATE,,,
TALBUTAL,TALBUTAL,,,
TALC,TALC,,,
TALETRECTINIB ADIPATE,TALETRECTINIB ADIPATE,,,
TALIGLUCERASE ALFA,TALIGLUCERASE ALFA,,,
TALQUETAMAB-TGVS,TALQUETAMAB TGVS,,,
TAMOXIFEN CITRATE,TAMOXIFEN CITRATE,,,
TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,,,
TAPENTADOL,TAPENTADOL,,,
TAPENTADOL HYDROCHLORIDE,TAPENTADOL HYDROCHLORIDE,,,
TAPINAROF,TAPINAROF,,,
TARLATAMAB-DLLE,TARLATAMAB DLLE,,,
TARTARIC ACID,TARTARIC ACID,,,
TASIMELTEON,TASIMELTEON,,,
TAUROLIDINE,TAUROLIDINE,,,
TAURURSODIOL,TAURURSODIOL,,,
TAVABOROLE,TAVABOROLE,,,
TAZAROTENE,TAZAROTENE,,,
TAZEMETOSTAT HYDROBROMIDE,TAZEMETOSTAT HYDROBROMIDE,,,
TAZOBACTAM SODIUM,TAZOBACTAM SODIUM,,,
TBO-FILGRASTIM,TBO FILGRASTIM,,,
TEBENTAFUSP-TEBN,TEBENTAFUSP TEBN,,,
TECHNETIUM TC-99M ALBUMIN AGGREGATED KIT,TECHNETIUM TC 99M ALBUMIN AGGREGATED KIT,,,
TECHNETIUM TC-99M ALBUMIN COLLOID KIT,TECHNETIUM TC 99M ALBUMIN COLLOID KIT,,,
TECHNETIUM TC-99M APCITIDE,TECHNETIUM TC 99M APCITIDE,,,
TECHNETIUM TC-99M BICISATE KIT,TECHNETIUM TC 99M BICISATE KIT,,,
TECHNETIUM TC-99M DEPREOTIDE,TECHNETIUM TC 99M DEPREOTIDE,,,
TECHNETIUM TC-99M DISOFENIN KIT,TECHNETIUM TC 99M DISOFENIN KIT,,,
TECHNETIUM TC-99M ETIDRONATE KIT,TECHNETIUM TC 99M ETIDRONATE KIT,,,
TECHNETIUM TC-99M EXAMETAZIME KIT,TECHNETIUM TC 99M EXAMETAZIME KIT,,,
TECHNETIUM TC-99M FERPENTETATE KIT,TECHNETIUM TC 99M FERPENTETATE KIT,,,
TECHNETIUM TC-99M GLUCEPTATE KIT,TECHNETIUM TC 99M GLUCEPTATE KIT,,,
TECHNETIUM TC-99M LABELED CARBON,TECHNETIUM TC 99M LABELED CARBON,,,
TECHNETIUM TC-99M LIDOFENIN KIT,TECHNETIUM TC 99M LIDOFENIN KIT,,,
TECHNETIUM TC-99M MEBROFENIN KIT,TECHNETIUM TC 99M MEBROFENIN KIT,,,
TECHNETIUM TC-99M MEDRONATE,TECHNETIUM TC 99M MEDRONATE,,,
TECHNETIUM TC-99M MEDRONATE KIT,TECHNETIUM TC 99M MEDRONATE KIT,,,
TECHNETIUM TC-99M MERTIATIDE KIT,TECHNETIUM TC 99M MERTIATIDE KIT,,,
TECHNETIUM TC-99M OXIDRONATE KIT,TECHNETIUM TC 99M OXIDRONATE KIT,,,
TECHNETIUM TC-99M PENTETATE KIT,TECHNETIUM TC 99M PENTETATE KIT,,,
TECHNETIUM TC-99M POLYPHOSPHATE KIT,TECHNETIUM TC 99M POLYPHOSPHATE KIT,,,
TECHNETIUM TC-99M PYRO/TRIMETA PHOSPHATES KIT,TECHNETIUM TC 99M PYRO TRIMETA PHOSPHATES KIT,,,
TECHNETIUM TC-99M PYROPHOSPHATE KIT,TECHNETIUM TC 99M PYROPHOSPHATE KIT,,,
TECHNETIUM TC-99M RED BLOOD CELL KIT,TECHNETIUM TC 99M RED BLOOD CELL KIT,,,
TECHNETIUM TC-99M SESTAMIBI KIT,TECHNETIUM TC 99M SESTAMIBI KIT,,,
TECHNETIUM TC-99M SODIUM PERTECHNETATE,TECHNETIUM TC 99M SODIUM PERTECHNETATE,,,
TECHNETIUM TC-99M SODIUM PERTECHNETATE GENERATOR,TECHNETIUM TC 99M SODIUM PERTECHNETATE GENERATOR,,,
TECHNETIUM TC-99M SUCCIMER,TECHNETIUM TC 99M SUCCIMER,,,
TECHNETIUM TC-99M SUCCIMER KIT,TECHNETIUM TC 99M SUCCIMER KIT,,,
TECHNETIUM TC-99M SULFUR COLLOID,TECHNETIUM TC 99M SULFUR COLLOID,,,
TECHNETIUM TC-99M SULFUR COLLOID KIT,TECHNETIUM TC 99M SULFUR COLLOID KIT,,,
TECHNETIUM TC-99M TEBOROXIME KIT,TECHNETIUM TC 99M TEBOROXIME KIT,,,
TECHNETIUM TC-99M TETROFOSMIN KIT,TECHNETIUM TC 99M TETROFOSMIN KIT,,,
TECHNETIUM TC-99M TILMANOCEPT,TECHNETIUM TC 99M TILMANOCEPT,,,
TECHNETIUM TC99M ALBUMIN AGGREGATED,TECHNETIUM TC99M ALBUMIN AGGREGATED,,,
TECLISTAMAB-CQYV,TECLISTAMAB CQYV,,,
TECOVIRIMAT,TECOVIRIMAT,,,
TEDIZOLID PHOSPHATE,TEDIZOLID PHOSPHATE,,,
TEDUGLUTIDE,TEDUGLUTIDE,,,
TEGASEROD MALEATE,TEGASEROD MALEATE,,,
TELAPREVIR,TELAPREVIR,,,
TELAVANCIN,TELAVANCIN,,,
TELAVANCIN HYDROCHLORIDE,TELAVANCIN HYDROCHLORIDE,,,
TELBIVUDINE,TELBIVUDINE,,,
TELISOTUZUMAB VEDOTIN-TLLV,TELISOTUZUMAB VEDOTIN TLLV,,,
TELITHROMYCIN,TELITHROMYCIN,,,
TELMISARTAN,TELMISARTAN,,,
TELOTRISTAT ETIPRATE,TELOTRISTAT ETIPRATE,,,
TEMAZEPAM,TEMAZEPAM,,,
TEMOZOLOMIDE,TEMOZOLOMIDE,,,
TEMSIROLIMUS,TEMSIROLIMUS,,,
TENAPANOR HYDROCHLORIDE,TENAPANOR HYDROCHLORIDE,,,
TENECTEPLASE,TENECTEPLASE,,,
TENIPOSIDE,TENIPOSIDE,,,
TENOFOVIR,TENOFOVIR,,,
TENOFOVIR ALAFENAMIDE,TENOFOVIR ALAFENAMIDE,,,
TENOFOVIR ALAFENAMIDE FUMARATE,TENOFOVIR ALAFENAMIDE FUMARATE,,,
TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,,,
TEPLIZUMAB-MZWV,TEPLIZUMAB MZWV,,,
TEPOTINIB HYDROCHLORIDE,TEPOTINIB HYDROCHLORIDE,,,
TEPROTUMUMAB-TRBW,TEPROTUMUMAB TRBW,,,
TERAZOSIN HYDROCHLORIDE,TERAZOSIN HYDROCHLORIDE,,,
TERBINAFINE,TERBINAFINE,,,
TERBINAFINE HYDROCHLORIDE,TERBINAFINE HYDROCHLORIDE,,,
TERBUTALINE SULFATE,TERBUTALINE SULFATE,,,
TERCONAZOLE,TERCONAZOLE,,,
TERIFLUNOMIDE,TERIFLUNOMIDE,,,
TERIPARATIDE,TERIPARATIDE,,,
TERLIPRESSIN ACETATE,TERLIPRESSIN ACETATE,,,
TESAMORELIN ACETATE,TESAMORELIN ACETATE,,,
TESTOLACTONE,TESTOLACTONE,,,
TESTOSTERONE,TESTOSTERONE,,,
TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,,,
TESTOSTERONE ENANTHATE,TESTOSTERONE ENANTHATE,,,
TESTOSTERONE PROPIONATE,TESTOSTERONE PROPIONATE,,,
TESTOSTERONE UNDECANOATE,TESTOSTERONE UNDECANOATE,,,
TETRABENAZINE,TETRABENAZINE,,,
TETRACAINE,TETRACAINE,,,
TETRACAINE HYDROCHLORIDE,TETRACAINE HYDROCHLORIDE,,,
TETRACYCLINE HYDROCHLORIDE,TETRACYCLINE HYDROCHLORIDE,,,
TETRACYCLINE PHOSPHATE COMPLEX,TETRACYCLINE PHOSPHATE COMPLEX,,,
TETRAHYDROZOLINE HYDROCHLORIDE,TETRAHYDROZOLINE HYDROCHLORIDE,,,
TEZACAFTOR,TEZACAFTOR,,,
TEZEPELUMAB-EKKO,TEZEPELUMAB EKKO,,,
THALIDOMIDE,THALIDOMIDE,,,
THALLOUS CHLORIDE TL-201,THALLOUS CHLORIDE TL 201,,,
THEOPHYLLINE,THEOPHYLLINE,,,
THEOPHYLLINE SODIUM GLYCINATE,THEOPHYLLINE SODIUM GLYCINATE,,,
THIABENDAZOLE,THIABENDAZOLE,,,
THIAMINE,THIAMINE,,,
THIAMINE HYDROCHLORIDE,THIAMINE HYDROCHLORIDE,,,
THIAMYLAL SODIUM,THIAMYLAL SODIUM,,,
THIETHYLPERAZINE MALATE,THIETHYLPERAZINE MALATE,,,
THIETHYLPERAZINE MALEATE,THIETHYLPERAZINE MALEATE,,,
THIOGUANINE,THIOGUANINE,,,
THIOPENTAL SODIUM,THIOPENTAL SODIUM,,,
THIORIDAZINE,THIORIDAZINE,,,
THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE,,,
THIOTEPA,THIOTEPA,,,
THIOTHIXENE,THIOTHIXENE,,,
THIOTHIXENE HYDROCHLORIDE,THIOTHIXENE HYDROCHLORIDE,,,
THONZONIUM BROMIDE,THONZONIUM BROMIDE,,,
THYROTROPIN ALFA,THYROTROPIN ALFA,,,
TIAGABINE HYDROCHLORIDE,TIAGABINE HYDROCHLORIDE,,,
TICAGRELOR,TICAGRELOR,,,
TICARCILLIN DISODIUM,TICARCILLIN DISODIUM,,,
TICLOPIDINE HYDROCHLORIDE,TICLOPIDINE HYDROCHLORIDE,,,
TIGECYCLINE,TIGECYCLINE,,,
TILDRAKIZUMAB-ASMN,TILDRAKIZUMAB ASMN,,,
TILUDRONATE DISODIUM,TILUDRONATE DISODIUM,,,
TIMOLOL,TIMOLOL,,,
TIMOLOL MALEATE,TIMOLOL MALEATE,,,
TINIDAZOLE,TINIDAZOLE,,,
TINZAPARIN SODIUM,TINZAPARIN SODIUM,,,
TIOCONAZOLE,TIOCONAZOLE,,,
TIOPRONIN,TIOPRONIN,,,
TIOTROPIUM BROMIDE,TIOTROPIUM BROMIDE,,,
TIPIRACIL,TIPIRACIL,,,
TIPIRACIL HYDROCHLORIDE,TIPIRACIL HYDROCHLORIDE,,,
TIPRANAVIR,TIPRANAVIR,,,
TIRBANIBULIN,TIRBANIBULIN,,,
TIROFIBAN HYDROCHLORIDE,TIROFIBAN HYDROCHLORIDE,,,
TIRZEPATIDE,TIRZEPATIDE,,,
TISLELIZUMAB-JSGR,TISLELIZUMAB JSGR,,,
TISOTUMAB VEDOTIN-TFTV,TISOTUMAB VEDOTIN TFTV,,,
TITANIUM DIOXIDE,TITANIUM DIOXIDE,,,
TIVOZANIB HYDROCHLORIDE,TIVOZANIB HYDROCHLORIDE,,,
TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE,,,
TOBRAMYCIN,TOBRAMYCIN,,,
TOBRAMYCIN SULFATE,TOBRAMYCIN SULFATE,,,
TOCAINIDE HYDROCHLORIDE,TOCAINIDE HYDROCHLORIDE,,,
TOCILIZUMAB,TOCILIZUMAB,,,
TOCILIZUMAB-AAZG,TOCILIZUMAB AAZG,,,
TOCILIZUMAB-ANOH,TOCILIZUMAB ANOH,,,
TOCILIZUMAB-BAVI,TOCILIZUMAB BAVI,,,
TOCOPHEROL ACETATE,TOCOPHEROL ACETATE,,,
TOFACITINIB,TOFACITINIB,,,
TOFACITINIB CITRATE,TOFACITINIB CITRATE,,,
TOFERSEN,TOFERSEN,,,
TOLAZAMIDE,TOLAZAMIDE,,,
TOLAZOLINE HYDROCHLORIDE,TOLAZOLINE HYDROCHLORIDE,,,
TOLBUTAMIDE,TOLBUTAMIDE,,,
TOLBUTAMIDE SODIUM,TOLBUTAMIDE SODIUM,,,
TOLCAPONE,TOLCAPONE,,,
TOLMETIN SODIUM,TOLMETIN SODIUM,,,
TOLTERODINE TARTRATE,TOLTERODINE TARTRATE,,,
TOLVAPTAN,TOLVAPTAN,,,
TOPIRAMATE,TOPIRAMATE,,,
TOPOTECAN HYDROCHLORIDE,TOPOTECAN HYDROCHLORIDE,,,
TOREMIFENE CITRATE,TOREMIFENE CITRATE,,,
TORIPALIMAB-TPZI,TORIPALIMAB TPZI,,,
TORSEMIDE,TORSEMIDE,,,
TOVORAFENIB,TOVORAFENIB,,,
TRABECTEDIN,TRABECTEDIN,,,
TRADIPITANT,TRADIPITANT,,,
TRALOKINUMAB,TRALOKINUMAB,,,
TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,,,
TRAMETINIB,TRAMETINIB,,,
TRAMETINIB DIMETHYL SULFOXIDE,TRAMETINIB DIMETHYL SULFOXIDE,,,
TRANDOLAPRIL,TRANDOLAPRIL,,,
TRANEXAMIC ACID,TRANEXAMIC ACID,,,
TRANYLCYPROMINE SULFATE,TRANYLCYPROMINE SULFATE,,,
TRASTUZUMAB,TRASTUZUMAB,,,
TRASTUZUMAB AND HYALURONIDASE-OYSK,TRASTUZUMAB AND HYALURONIDASE OYSK,,,
TRASTUZUMAB-ANNS,TRASTUZUMAB ANNS,,,
TRASTUZUMAB-DKST,TRASTUZUMAB DKST,,,
